,contents_page,label,extraction
37,"Chapter 11D  —
 Equilibrium at H om e
Steadiness Fundamentals............................................................150
Management of Blood Sugar Levels..............................152
The Renal System.........................................................................156
Regulating Blood Water Potential....................................158
Chapter 12A  —
 Hereditary Traits
Heritage..............................................................................................160
Associations and Interaction....................................................163
The Statistical Test of Chi-Square....................................... 166
Chapter 12B —
 Populace and Evolutionary Changes
The Hardy-Weinberg Law.....................................................168
Variability and Choice............................................................. 170
Formation of Species and Genetic Alteration................. 172
Chapter 13A —
 Changes in Genes 
and Genetic Information
Genetic Changes.........................................................................184
Malignancy........................................................................................ 186
Analysis of Cancer Data......................................................... 188
Cellular Structures........................................................................190
Control of Genetic Code Reading and Interpretation........194
Epigenetic Oversight of Genetic Interpretation................197
Assessing Data on Traits...........................................................199
Chapter 13B —
 Genetic Mapping 
and Genetic Engineering
Genetic Mapping and Constructing DNA Fragments......200
Increasing DNA Fragments...................................................203
Utilizing Modified DNA Techniques................................205
Gene Markers and Medical Diagnosis............................. 208
Genetic Identification............................................................... 210
Chapter 13C  —
 Ecosystem Populations
Biomes.............................................................................................174
Differences in Community Magnitude.............................. 176
Exploring Communities....................................................... 178
Sequence......................................................................................... 180
Preservation................................................................................... 182
Practical Approaches
Strategizing an Experiment................................................... 212
Processing and Exhibiting Information...........................214
Deriving Conclusions and Assessment..........................217
Achieving Success in Assessments
Strategies for Success in Assessments.............................219
Responses........................
Credits 
In d ex..............................
228
229
",yes,"Steadiness Fundamentals --- 150
  Management of Blood Sugar Levels --- 152
  The Renal System --- 156
  Regulating Blood Water Potential --- 158
  Heritage --- 160
  Associations and Interaction --- 163
  The Statistical Test of Chi-Square --- 166
  The Hardy-Weinberg Law --- 168
  Variability and Choice --- 170
  Formation of Species and Genetic Alteration --- 172
  Genetic Changes --- 184
  Malignancy --- 186
  Analysis of Cancer Data --- 188
  Cellular Structures --- 190
  Control of Genetic Code Reading and Interpretation --- 194
  Epigenetic Oversight of Genetic Interpretation --- 197
  Assessing Data on Traits --- 199
  Genetic Mapping and Constructing DNA Fragments --- 200
  Increasing DNA Fragments --- 203
  Utilizing Modified DNA Techniques --- 205
  Gene Markers and Medical Diagnosis --- 208
  Genetic Identification --- 210
  Biomes --- 174
  Differences in Community Magnitude --- 176
  Exploring Communities --- 178
  Sequence --- 180
  Preservation --- 182
  Strategizing an Experiment --- 212
  Processing and Exhibiting Information --- 214
  Deriving Conclusions and Assessment --- 217
  Strategies for Success in Assessments --- 219
  Index --- 228"
38,"Chapter 11D —
 Balance at H ome
Equilibrium Basics............................................................148
Control of Blood Glucose Levels..............................150
The Renal System.........................................................................154
Controlling Blood Water Potential....................................156
Chapter 12A —
 Genetic Inheritance
Inheritance........................................................................................158
Connection and Interplay....................................................... 161
Statistical Examination of Chi-Square................................ 164
Chapter 12B —
 Populations and Evolutionary Developments
The Hardy-Weinberg Principle..............................................166
Variability and Selection.......................................................... 168
Formation of Species and Genetic Drift......................... 170
Chapter 13A —
 Transformations in Genes 
and Genetic Data
Genetic Changes.........................................................................182
Cancer.............................................................................................. 184
Interpreting Data on Cancer.................................................. 186
Cellular Structures........................................................................188
Control of Genetic Code Decoding and Interpretation........192
Epigenetic Management of Genetic Expression................195
Evaluation of Data on Traits....................................................197
Chapter 13B —
 Genetic Charting 
and Genetic Adjustment
Genetic Charting and Constructing DNA Segments......198
Amplifying DNA Segments.....................................................201
Employing Recombinant DNA Approaches......................203
Gene Indicators and Medical Diagnosis............................ 206
Genetic Identification............................................................... 208
Chapter 13C —
 Community Populations
Ecosystems...................................................................................172
Variations in Community Scale............................................ 174
Exploring Populations............................................................ 176
Sequence......................................................................................... 178
Preservation................................................................................... 180
Practical Techniques
Designing an Experiment....................................................... 210
Handling and Exhibiting Data...............................................212
Formulating Conclusions and Evaluating.........................215
Achieve Excellence in Examinations
How to Excel in Your Exams................................................217
Responses........................
Credits 
In d ex..............................
226
227
",yes,"Equilibrium Basics --- 148
  Control of Blood Glucose Levels --- 150
  The Renal System --- 154
  Controlling Blood Water Potential --- 156
  Inheritance --- 158
  Connection and Interplay --- 161
  Statistical Examination of Chi-Square --- 164
  The Hardy-Weinberg Principle --- 166
  Variability and Selection --- 168
  Formation of Species and Genetic Drift --- 170
  Genetic Changes --- 182
  Cancer --- 184
  Interpreting Data on Cancer --- 186
  Cellular Structures --- 188
  Control of Genetic Code Decoding and Interpretation --- 192
  Epigenetic Management of Genetic Expression --- 195
  Evaluation of Data on Traits --- 197
  Genetic Charting and Constructing DNA Segments --- 198
  Amplifying DNA Segments --- 201
  Employing Recombinant DNA Approaches --- 203
  Gene Indicators and Medical Diagnosis --- 206
  Genetic Identification --- 208
  Ecosystems --- 172
  Variations in Community Scale --- 174
  Exploring Populations --- 176
  Sequence --- 178
  Preservation --- 180
  Designing an Experiment --- 210
  Handling and Exhibiting Data --- 212
  Formulating Conclusions and Evaluating --- 215
  How to Excel in Your Exams --- 217
  Index --- 226"
39,"Introduction 
4
1 International relations in an age of imperialism 1871–1918 
6
 
The ‘scramble for Africa’ 
8
 
The emergence of the USA as a world power 
20
 
The emergence of Japan as a world power 
24
 
The alliance system in Europe 
28
2  International relations in an age of uncertainty 1919–33 
40
 
The peace settlements of 1919–20 
42
 
Attempts to improve international relations 
53
 
Problems in Europe 1919–33 
59
 
American foreign policy 
62
3  International relations in an age of extremism 1919–39 
68
 
Mussolini’s foreign policy 
70
 
Civil war in Spain 
79
 
Hitler’s foreign policy 
86
 
The road to war 
94
4  China and Japan in an age of development 1919–45 
102
 
The implications of the ‘warlord era’ in China 
104
 
The Kuomintang and its aims 
110
 
Support for communism in China 
114
 
Japan and military dictatorship during the 1930s 
119
5  The search for international peace and security 1919–45 
130
 
The origins and aims of the League of Nations 
131
 
The organisation of the League of Nations 
137
 
The successes and failures of the League of Nations 
140
 
The origins and aims of the United Nations 
152
6  Examination skills 
160
 
What skills will be tested in examination, and how? 
162
 
Knowledge and understanding questions 
164
 
Analysis and evaluation questions 
167
 
Source-based questions 
175
 
Examination technique 
192
Index 
196
Acknowledgements 
200
Contents
",yes,"Introduction --- 4
International relations in an age of imperialism 1871-1918 --- 6
The ‘scramble for Africa’ --- 8
The emergence of the USA as a world power --- 20
The emergence of Japan as a world power --- 24
The alliance system in Europe --- 28
International relations in an age of uncertainty 1919–33 --- 40
The peace settlements of 1919–20 --- 42
Attempts to improve international relations --- 53
Problems in Europe 1919–33 --- 59
American foreign policy --- 62
International relations in an age of extremism 1919–39 --- 68
Mussolini’s foreign policy --- 70
Civil war in Spain --- 79
Hitler’s foreign policy --- 86
The road to war --- 94
China and Japan in an age of development 1919–45 --- 102
The implications of the ‘warlord era’ in China --- 104
The Kuomintang and its aims --- 110
Support for communism in China --- 114
Japan and military dictatorship during the 1930s --- 119
The search for international peace and security 1919–45 --- 130
The origins and aims of the League of Nations --- 131
The organisation of the League of Nations --- 137
The successes and failures of the League of Nations --- 140
The origins and aims of the United Nations --- 152
Examination skills --- 160
What skills will be tested in examination, and how? --- 162
Knowledge and understanding questions --- 164
Analysis and evaluation questions --- 167
Source-based questions --- 175
Examination technique --- 192
Index --- 196
Acknowledgements --- 200"
40,"Introductory Notes 
8
1 Global connections in an era of imperialism 1871-1918 
14
 
The race for dominance in Africa 
18
 
The rise of the USA as a global force 
30
 
The ascendancy of Japan as a global force 
34
 
The coalition system in Europe 
38
2  Global connections in an era of unpredictability 1919–33 
50
 
The treaties of 1919–20 
52
 
Efforts to enhance international relations 
63
 
Challenges in Europe 1919–33 
69
 
US foreign policy 
72
3  Global connections in an era of extremism 1919–39 
78
 
Mussolini’s global strategy 
80
 
The Spanish Civil War 
89
 
Hitler’s global strategy 
96
 
The path to conflict 
104
4  China and Japan in an era of progress 1919–45 
112
 
The consequences of the 'warlord era' in China 
114
 
The Kuomintang and its objectives 
120
 
Advocacy for communism in China 
124
 
Japan and authoritarianism during the 1930s 
129
5  The pursuit of international peace and security 1919–45 
140
 
The origins and objectives of the League of Nations 
141
 
The structure of the League of Nations 
147
 
The triumphs and setbacks of the League of Nations 
150
 
The origins and objectives of the United Nations 
162
6  Examination techniques 
170
 
Which abilities will be assessed in examinations, and how? 
172
 
Knowledge and comprehension queries 
174
 
Analysis and assessment queries 
177
 
Source-based queries 
185
 
Examination strategy 
202
Index 
206
Appreciations 
210
Contents
",yes,"Introductory Notes --- 8
Global connections in an era of imperialism 1871-1918 --- 14
The race for dominance in Africa --- 18
The rise of the USA as a global force --- 30
The ascendancy of Japan as a global force --- 34
The coalition system in Europe --- 38
Global connections in an era of unpredictability 1919–33 --- 50
The treaties of 1919–20 --- 52
Efforts to enhance international relations --- 63
Challenges in Europe 1919–33 --- 69
US foreign policy --- 72
Global connections in an era of extremism 1919–39 --- 78
Mussolini’s global strategy --- 80
The Spanish Civil War --- 89
Hitler’s global strategy --- 96
The path to conflict --- 104
China and Japan in an era of progress 1919–45 --- 112
The consequences of the 'warlord era' in China --- 114
The Kuomintang and its objectives --- 120
Advocacy for communism in China --- 124
Japan and authoritarianism during the 1930s --- 129
The pursuit of international peace and security 1919–45 --- 140
The origins and objectives of the League of Nations --- 141
The structure of the League of Nations --- 147
The triumphs and setbacks of the League of Nations --- 150
The origins and objectives of the United Nations --- 162
Examination techniques --- 170
Which abilities will be assessed in examinations, and how? --- 172
Knowledge and comprehension queries --- 174
Analysis and assessment queries --- 177
Source-based queries --- 185
Examination strategy --- 202
Index --- 206
Appreciations --- 210"
41,"Introduction 
12
1 Worldwide relations in an epoch of imperialism 1871-1918 
16
 
The race for control in Africa 
22
 
The rise of the USA as a global force 
34
 
The emergence of Japan as a global force 
38
 
The coalition system in Europe 
42
2 Worldwide relations in an epoch of uncertainty 1919–33 
54
 
The accords of 1919–20 
56
 
Initiatives to enhance international relations 
67
 
Challenges in Europe 1919–33 
73
 
US foreign policy 
76
3 Worldwide relations in an epoch of extremism 1919–39 
82
 
Mussolini’s foreign strategy 
84
 
The Spanish Civil War 
93
 
Hitler’s foreign strategy 
100
 
The journey to conflict 
108
4 China and Japan in an epoch of progress 1919–45 
116
 
The consequences of the 'warlord era' in China 
118
 
The Kuomintang and its goals 
124
 
Advocacy for communism in China 
128
 
Japan and authoritarianism during the 1930s 
133
5 The quest for international peace and security 1919–45 
144
 
The origins and goals of the League of Nations 
145
 
The organization of the League of Nations 
151
 
The triumphs and setbacks of the League of Nations 
154
 
The origins and goals of the United Nations 
166
6 Examining skills 
174
 
What skills will be assessed in examination, and how? 
176
 
Knowledge and understanding questions 
178
 
Analysis and evaluation questions 
181
 
Source-based questions 
189
 
Examination technique 
206
Index 
210
Appreciations 
214
Contents
",yes,"Introduction --- 12
Worldwide relations in an epoch of imperialism 1871-1918 --- 16
The race for control in Africa --- 22
The rise of the USA as a global force --- 34
The emergence of Japan as a global force --- 38
The coalition system in Europe --- 42
Worldwide relations in an epoch of uncertainty 1919–33 --- 54
The accords of 1919–20 --- 56
Initiatives to enhance international relations --- 67
Challenges in Europe 1919–33 --- 73
US foreign policy --- 76
Worldwide relations in an epoch of extremism 1919–39 --- 82
Mussolini’s foreign strategy --- 84
The Spanish Civil War --- 93
Hitler’s foreign strategy --- 100
The journey to conflict --- 108
China and Japan in an epoch of progress 1919–45 --- 116
The consequences of the 'warlord era' in China --- 118
The Kuomintang and its goals --- 124
Advocacy for communism in China --- 128
Japan and authoritarianism during the 1930s --- 133
The quest for international peace and security 1919–45 --- 144
The origins and goals of the League of Nations --- 145
The organization of the League of Nations --- 151
The triumphs and setbacks of the League of Nations --- 154
The origins and goals of the United Nations --- 166
Examining skills --- 174
What skills will be assessed in examination, and how? --- 176
Knowledge and understanding questions --- 178
Analysis and evaluation questions --- 181
Source-based questions --- 189
Examination technique --- 206
Index --- 210
Appreciations --- 214"
42,"iii
CONTENTS
COURSE STRUCTURE
ABOUT THIS BOOK
PRACTICAL SKILLS
ASSESSMENT OVERVIEW
TOPIC 11
TOPIC 12
TOPIC 13
TOPIC 14
TOPIC 15
TOPIC 16
TOPIC 17
TOPIC 18
TOPIC 19
TOPIC 20
MATHS SKILLS
PREPARING FOR YOUR EXAMS
COMMAND WORDS
GLOSSARY
PERIODIC TABLE
INDEX
iv
viii
x
xii
2
30
58
78
106
158
182
220
236
258
282
286
293
295
298
299
SAMPLE COPY
",yes,"CONTENTS --- iii
COURSE STRUCTURE --- iv
ABOUT THIS BOOK --- viii
PRACTICAL SKILLS --- x
ASSESSMENT OVERVIEW --- xii
TOPIC 11 --- 2
TOPIC 12 --- 30
TOPIC 13 --- 58
TOPIC 14 --- 78
TOPIC 15 --- 106
TOPIC 16 --- 158
TOPIC 17 --- 182
TOPIC 18 --- 220
TOPIC 19 --- 236
TOPIC 20 --- 258
MATHS SKILLS --- 282
PREPARING FOR YOUR EXAMS --- 286
COMMAND WORDS --- 293
GLOSSARY --- 295
PERIODIC TABLE --- 298
INDEX --- 299"
43,"iv
COURSE STRUCTURE
UNIT 4: RATES, EQUILIBRIA AND FURTHER ORGANIC CHEMISTRY
TOPIC 11  
KINETICS 
2
11A FURTHER KINETICS
1 TECHNIQUES FOR MEASURING 
THE RATE OF REACTION 
4
2 RATE EQUATIONS, RATE 
CONSTANTS AND ORDERS OF 
REACTION 
7
3 DETERMINING ORDERS OF 
REACTION 
10
4 RATE EQUATIONS AND 
MECHANISMS 
15
5 ACTIVATION ENERGY AND 
CATALYSIS 
19
6 EFFECT OF TEMPERATURE  
ON THE RATE CONSTANT 
22
THINKING BIGGER: 
CATALYST CRAFT 
26
EXAM PRACTICE 
28
TOPIC 12  
ENTROPY AND 
ENERGETICS 
30
12A ENTROPY
1 INTRODUCTION TO  
ENTROPY 
32
2 TOTAL ENTROPY 
36
3 UNDERSTANDING ENTROPY 
CHANGES 
40
12B LATTICE ENERGY
1 LATTICE ENERGY, ΔLEH 
AND BORN–HABER  
CYCLES 
44
2 EXPERIMENTAL AND 
THEORETICAL LATTICE 
ENERGIES 
48
3 ENTHALPY CHANGES OF 
SOLUTION AND HYDRATION 51
THINKING BIGGER: 
HYDROGEN REVOLUTION 
54
EXAM PRACTICE 
56
TOPIC 13  
CHEMICAL  
EQUILIBRIA 
58
13A CHEMICAL EQUILIBRIA
1 EQUILIBRIUM CONSTANT, Kc 60
2 EQUILIBRIUM CONSTANT, KP 63
3 FACTORS AFFECTING 
EQUILIBRIUM CONSTANTS 1 65
4 FACTORS AFFECTING 
EQUILIBRIUM CONSTANTS 2 67
5 RELATING ENTROPY TO 
EQUILIBRIUM CONSTANTS 
71
THINKING BIGGER: 
CATASTROPHE FOR CORAL 
74
EXAM PRACTICE 
76
SAMPLE COPY
",yes,"COURSE STRUCTURE --- iv
TOPIC 11 KINETICS --- 2
1 TECHNIQUES FOR MEASURING THE RATE OF REACTION --- 4
2 RATE EQUATIONS, RATE CONSTANTS AND ORDERS OF REACTION --- 7
3 DETERMINING ORDERS OF REACTION --- 10
4 RATE EQUATIONS AND MECHANISMS --- 15
5 ACTIVATION ENERGY AND CATALYSIS --- 19
6 EFFECT OF TEMPERATURE ON THE RATE CONSTANT --- 22
THINKING BIGGER: CATALYST CRAFT --- 26
EXAM PRACTICE --- 28
TOPIC 12 ENTROPY AND ENERGETICS --- 30
1 INTRODUCTION TO ENTROPY --- 32
2 TOTAL ENTROPY --- 36
3 UNDERSTANDING ENTROPY CHANGES --- 40
1 LATTICE ENERGY, ΔLEH AND BORN–HABER CYCLES --- 44
2 EXPERIMENTAL AND THEORETICAL LATTICE ENERGIES --- 48
3 ENTHALPY CHANGES OF SOLUTION AND HYDRATION --- 51
THINKING BIGGER: HYDROGEN REVOLUTION --- 54
EXAM PRACTICE --- 56
TOPIC 13 CHEMICAL EQUILIBRIA --- 58
1 EQUILIBRIUM CONSTANT, Kc --- 60
2 EQUILIBRIUM CONSTANT, KP --- 63
3 FACTORS AFFECTING EQUILIBRIUM CONSTANTS 1 --- 65
4 FACTORS AFFECTING EQUILIBRIUM CONSTANTS 2 --- 67
5 RELATING ENTROPY TO EQUILIBRIUM CONSTANTS --- 71
THINKING BIGGER: CATASTROPHE FOR CORAL --- 74
EXAM PRACTICE --- 76"
44,"TOPIC 14  
ACID–BASE  
EQUILIBRIA 
78
14A  STRONG AND WEAK 
ACIDS
1 THE BRØNSTED–LOWRY 
THEORY 
80
2 HYDROGEN ION 
CONCENTRATION AND  
THE pH SCALE 
83
3 IONIC PRODUCT OF  
WATER, Kw 
86
4 ANALYSING DATA FROM  
pH MEASUREMENTS 
88
14B  ACID–BASE 
TITRATIONS
1 ACID–BASE TITRATIONS, pH 
CURVES AND INDICATORS 91
2 BUFFER SOLUTIONS 
96
3 BUFFER SOLUTIONS AND  
pH CURVES 
100
THINKING BIGGER: 
A PROBLEM GROWS 
102
EXAM PRACTICE 
104
TOPIC 15  
ORGANIC CHEMISTRY: 
CARBONYLS, 
CARBOXYLIC ACIDS 
AND CHIRALITY 
106
15A CHIRALITY
1 CHIRALITY AND  
ENANTIOMERS 
108
2 OPTICAL ACTIVITY 
110
3 OPTICAL ACTIVITY AND 
REACTION MECHANISMS 112
15B  CARBONYL 
COMPOUNDS
1 CARBONYL COMPOUNDS 
AND THEIR PHYSICAL 
PROPERTIES 
114
2 REDOX REACTIONS OF 
CARBONYL COMPOUNDS 117
3 NUCLEOPHILIC ADDITION 
REACTIONS 
119
15C CARBOXYLIC ACIDS
1 CARBOXYLIC ACIDS AND 
THEIR PHYSICAL  
PROPERTIES 
122
2 PREPARATIONS AND 
REACTIONS OF CARBOXYLIC 
ACIDS 
124
15D  CARBOXYLIC ACID 
DERIVATIVES 
1 CARBOXYLIC ACID 
DERIVATIVES: ACYL 
CHLORIDES 
126
2 CARBOXYLIC ACID 
DERIVATIVES: ESTERS 
129
3 CARBOXYLIC ACID 
DERIVATIVES:  
POLYESTERS 
132
15E  SPECTROSCOPY AND 
CHROMATOGRAPHY
1 SIMPLE  
CHROMATOGRAPHY 
134
2 DETERMINING STRUCTURES 
USING MASS SPECTRA 
136
3 CHROMATOGRAPHY:  
HPLC AND GC 
138
4 CHROMATOGRAPHY AND 
MASS SPECTROMETRY 
140
5 PRINCIPLES OF NMR 
SPECTROSCOPY 
142
6 13C NMR SPECTROSCOPY 144
7 1H NMR SPECTROSCOPY 148
8 SPLITTING PATTERNS IN  
1H NMR SPECTRA 
151
THINKING BIGGER: 
LIFE’S MIRROR IMAGES 
154
EXAM PRACTICE 
156
v
COURSE STRUCTURE
SAMPLE COPY
",yes,"TOPIC 14 ACID–BASE EQUILIBRIA --- 78
1 THE BRØNSTED–LOWRY THEORY --- 80
2 HYDROGEN ION CONCENTRATION AND THE pH SCALE --- 83
3 IONIC PRODUCT OF WATER, Kw --- 86
4 ANALYSING DATA FROM pH MEASUREMENTS --- 88
1 ACID–BASE TITRATIONS, pH CURVES AND INDICATORS --- 91
2 BUFFER SOLUTIONS --- 96
3 BUFFER SOLUTIONS AND pH CURVES --- 100
THINKING BIGGER: A PROBLEM GROWS --- 102
EXAM PRACTICE --- 104
TOPIC 15 ORGANIC CHEMISTRY: CARBONYLS, CARBOXYLIC ACIDS AND CHIRALITY --- 106
1 CHIRALITY AND ENANTIOMERS --- 108
2 OPTICAL ACTIVITY --- 110
3 OPTICAL ACTIVITY AND REACTION MECHANISMS --- 112
1 CARBONYL COMPOUNDS AND THEIR PHYSICAL PROPERTIES --- 114
2 REDOX REACTIONS OF CARBONYL COMPOUNDS --- 117
3 NUCLEOPHILIC ADDITION REACTIONS --- 119
1 CARBOXYLIC ACIDS AND THEIR PHYSICAL PROPERTIES --- 122
2 PREPARATIONS AND REACTIONS OF CARBOXYLIC ACIDS --- 124
1 CARBOXYLIC ACID DERIVATIVES: ACYL CHLORIDES --- 126
2 CARBOXYLIC ACID DERIVATIVES: ESTERS --- 129
3 CARBOXYLIC ACID DERIVATIVES: POLYESTERS --- 132
1 SIMPLE CHROMATOGRAPHY --- 134
2 DETERMINING STRUCTURES USING MASS SPECTRA --- 136
3 CHROMATOGRAPHY: HPLC AND GC --- 138
4 CHROMATOGRAPHY AND MASS SPECTROMETRY --- 140
5 PRINCIPLES OF NMR SPECTROSCOPY --- 142
6 13C NMR SPECTROSCOPY --- 144
7 1H NMR SPECTROSCOPY --- 148
8 SPLITTING PATTERNS IN 1H NMR SPECTRA --- 151
THINKING BIGGER: LIFE’S MIRROR IMAGES --- 154
EXAM PRACTICE --- 156"
45,"TOPIC 16  
REDOX EQUILIBRIA 158
16A  STANDARD 
ELECTRODE 
POTENTIAL 
1 STANDARD ELECTRODE 
(REDOX) POTENTIALS 
160
2 ELECTROCHEMICAL  
CELLS 
166
3 STANDARD ELECTRODE 
POTENTIALS AND 
THERMODYNAMIC  
FEASIBILITY 
168
16B REDOX IN ACTION 
1 FUEL CELLS 
172
2 REDOX TITRATIONS 
174
THINKING BIGGER: 
ELECTROLYTE EVOLUTION 
178
EXAM PRACTICE 
180
TOPIC 17  
TRANSITION METALS 
AND THEIR  
CHEMISTRY  
182
17A  PRINCIPLES OF 
TRANSITION METAL 
CHEMISTRY 
1 TRANSITION METAL 
ELECTRONIC 
CONFIGURATIONS 
184
2 LIGANDS AND  
COMPLEXES 
187
3 THE ORIGIN OF COLOUR IN 
COMPLEXES 
189
4 COMMON SHAPES OF 
COMPLEXES 
192
5 SQUARE PLANAR  
COMPLEXES 
194
6 MULTIDENTATE LIGANDS 196
17B  TRANSITION METAL 
REACTIONS 
1 DIFFERENT TYPES OF 
REACTIONS 
199
2 REACTIONS OF COBALT AND 
IRON COMPLEXES 
201
3 THE CHEMISTRY OF 
CHROMIUM 
203
4 REACTIONS OF MANGANESE 
COMPLEXES 
207
5 THE CHEMISTRY OF 
VANADIUM 
208
6 REACTIONS OF NICKEL AND 
ZINC COMPLEXES 
210
17C  TRANSITION METALS  
AS CATALYSTS 
1 HETEROGENEOUS  
CATALYSIS 
212
2 HOMOGENEOUS CATALYSIS 214
THINKING BIGGER: 
POWERFUL PIGMENTS 
216
EXAM PRACTICE 
218
TOPIC 18  
ORGANIC CHEMISTRY: 
ARENES 
220
18A ARENES: BENZENE
1 BENZENE: A MOLECULE WITH 
TWO MODELS 
222
2 SOME REACTIONS OF  
BENZENE 
226
3 ELECTROPHILIC SUBSTITUTION 
MECHANISMS 
228
4 PHENOL 
230
THINKING BIGGER: 
MOLECULES OF FRAGRANCE  
AND TASTE 
232
EXAM PRACTICE 
234
vi
COURSE STRUCTURE
UNIT 5: TRANSITION METALS AND ORGANIC NITROGEN CHEMISTRY
SAMPLE COPY
",yes,"TOPIC 16 REDOX EQUILIBRIA --- 158
1 STANDARD ELECTRODE (REDOX) POTENTIALS --- 160
2 ELECTROCHEMICAL CELLS --- 166
3 STANDARD ELECTRODE POTENTIALS AND THERMODYNAMIC FEASIBILITY --- 168
1 FUEL CELLS --- 172
2 REDOX TITRATIONS --- 174
THINKING BIGGER: ELECTROLYTE EVOLUTION --- 178
EXAM PRACTICE --- 180
TOPIC 17 TRANSITION METALS AND THEIR CHEMISTRY --- 182
1 TRANSITION METAL ELECTRONIC CONFIGURATIONS --- 184
2 LIGANDS AND COMPLEXES --- 187
3 THE ORIGIN OF COLOUR IN COMPLEXES --- 189
4 COMMON SHAPES OF COMPLEXES --- 192
5 SQUARE PLANAR COMPLEXES --- 194
6 MULTIDENTATE LIGANDS --- 196
1 DIFFERENT TYPES OF REACTIONS --- 199
2 REACTIONS OF COBALT AND IRON COMPLEXES --- 201
3 THE CHEMISTRY OF CHROMIUM --- 203
4 REACTIONS OF MANGANESE COMPLEXES --- 207
5 THE CHEMISTRY OF VANADIUM --- 208
6 REACTIONS OF NICKEL AND ZINC COMPLEXES --- 210
1 HETEROGENEOUS CATALYSIS --- 212
2 HOMOGENEOUS CATALYSIS --- 214
THINKING BIGGER: POWERFUL PIGMENTS --- 216
EXAM PRACTICE --- 218
TOPIC 18 ORGANIC CHEMISTRY: ARENES --- 220
1 BENZENE: A MOLECULE WITH TWO MODELS --- 222
2 SOME REACTIONS OF BENZENE --- 226
3 ELECTROPHILIC SUBSTITUTION MECHANISMS --- 228
4 PHENOL --- 230
THINKING BIGGER: MOLECULES OF FRAGRANCE AND TASTE --- 232
EXAM PRACTICE --- 234"
46,"TOPIC 20  
ORGANIC  
SYNTHESIS 
258
20A  ORGANIC  
STRUCTURES 
1 ORGANIC ANALYSIS 
260
2 ORGANIC SYNTHESIS 
264
3 HAZARDS, RISKS AND 
CONTROL MEASURES 
269
4 PRACTICAL TECHNIQUES  
IN ORGANIC CHEMISTRY:  
PART 1 
272
5 PRACTICAL TECHNIQUES  
IN ORGANIC CHEMISTRY:  
PART 2 
274
THINKING BIGGER: 
CHALLENGING ORGANIC 
SYNTHESES 
278
EXAM PRACTICE 
280
TOPIC 19  
ORGANIC NITROGEN 
COMPOUNDS: AMINES, 
AMIDES, AMINO ACIDS 
AND PROTEINS 
236
19A  AMINES, AMIDES, 
AMINO ACIDS AND 
PROTEINS 
1 AMINES AND THEIR 
PREPARATIONS 
238
2 ACID–BASE REACTIONS OF 
AMINES 
240
3 OTHER REACTIONS OF  
AMINES 
242
4 AMIDES AND  
POLYAMIDES 
245
5 AMINO ACIDS 
249
6 PEPTIDES AND PROTEINS 252
THINKING BIGGER: 
PROTEIN MOLECULES:  
LIFE’S HARDWARE 
254
EXAM PRACTICE 
256
MATHS SKILLS 
 
282
PREPARING FOR YOUR  
EXAMS 
286
SAMPLE EXAM ANSWERS 288
COMMAND WORDS 
293
GLOSSARY 
295
PERIODIC TABLE 
298
INDEX 
299
vii
COURSE STRUCTURE
SAMPLE COPY
",yes,"TOPIC 20 ORGANIC SYNTHESIS --- 258
1 ORGANIC ANALYSIS --- 260
2 ORGANIC SYNTHESIS --- 264
3 HAZARDS, RISKS AND CONTROL MEASURES --- 269
4 PRACTICAL TECHNIQUES IN ORGANIC CHEMISTRY: PART 1 --- 272
5 PRACTICAL TECHNIQUES IN ORGANIC CHEMISTRY: PART 2 --- 274
THINKING BIGGER: CHALLENGING ORGANIC SYNTHESES --- 278
EXAM PRACTICE --- 280
TOPIC 19 ORGANIC NITROGEN COMPOUNDS: AMINES, AMIDES, AMINO ACIDS AND PROTEINS --- 236
1 AMINES AND THEIR PREPARATIONS --- 238
2 ACID–BASE REACTIONS OF AMINES --- 240
3 OTHER REACTIONS OF AMINES --- 242
4 AMIDES AND POLYAMIDES --- 245
5 AMINO ACIDS --- 249
6 PEPTIDES AND PROTEINS --- 252
THINKING BIGGER: PROTEIN MOLECULES: LIFE’S HARDWARE --- 254
EXAM PRACTICE --- 256
MATHS SKILLS --- 282
PREPARING FOR YOUR EXAMS --- 286
SAMPLE EXAM ANSWERS --- 288
COMMAND WORDS --- 293
GLOSSARY --- 295
PERIODIC TABLE --- 298
INDEX --- 299"
